misfit,step_count,step_length,grad_norm_L1,grad_norm_L2,slope,theta,if_restarted
3.007E+03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
1.379E+03,4.000E+00,3.218E+09,9.057E-05,1.046E-06,-6.051E-07,0.000E+00,0.000E+00
3.433E+02,1.000E+00,1.409E-01,7.187E-05,9.151E-07,-7.352E+03,1.659E+00,0.000E+00
3.432E+02,4.000E+00,1.250E-01,1.272E-04,1.507E-06,-8.302E-01,1.872E+01,0.000E+00
2.436E+02,1.000E+00,1.000E+00,1.191E-04,1.404E-06,-9.957E+01,9.403E+00,0.000E+00
1.619E+02,1.000E+00,1.000E+00,3.511E-05,4.392E-07,-8.170E+01,1.170E+01,0.000E+00
1.395E+02,1.000E+00,1.000E+00,4.494E-05,5.376E-07,-2.241E+01,3.940E+01,0.000E+00
1.160E+02,1.000E+00,1.000E+00,3.625E-05,4.475E-07,-2.357E+01,2.021E+01,0.000E+00
1.151E+02,1.000E+00,1.000E+00,7.078E-05,7.652E-07,-8.358E-01,2.892E+01,0.000E+00
1.128E+02,1.000E+00,1.000E+00,2.548E-05,2.501E-07,-2.318E+00,1.349E+01,0.000E+00
8.073E+01,1.000E+00,1.000E+00,1.817E-05,1.714E-07,-3.208E+01,5.766E+00,0.000E+00
3.779E+01,1.000E+00,1.000E+00,2.557E-05,2.522E-07,-4.295E+01,5.820E+01,0.000E+00
3.008E+01,1.000E+00,1.000E+00,4.287E-05,4.660E-07,-7.702E+00,7.015E+01,0.000E+00
3.052E+01,3.000E+00,2.500E-01,4.344E-05,4.460E-07,-3.047E-01,1.201E+01,0.000E+00
3.031E+01,4.000E+00,1.250E-01,3.958E-05,4.034E-07,-1.703E+00,3.267E+01,0.000E+00
3.148E+01,3.000E+00,2.500E-01,3.101E-05,3.528E-07,-2.690E-01,3.664E+01,0.000E+00
4.035E+01,3.000E+00,2.500E-01,2.486E-05,3.036E-07,-2.707E+00,4.089E+01,0.000E+00
3.995E+01,3.000E+00,9.775E-02,2.422E-05,2.945E-07,-4.022E+00,3.295E+01,0.000E+00
4.343E+01,4.000E+00,1.250E-01,2.232E-05,2.582E-07,-3.972E+00,3.586E+01,0.000E+00
4.326E+01,3.000E+00,7.800E-02,2.144E-05,2.482E-07,-2.173E+00,3.266E+01,0.000E+00
4.320E+01,3.000E+00,9.591E-02,2.025E-05,2.309E-07,-6.085E-01,2.958E+01,0.000E+00
4.246E+01,3.000E+00,2.500E-01,1.768E-05,1.905E-07,-2.987E+00,2.155E+01,0.000E+00
4.208E+01,2.000E+00,5.000E-01,1.336E-05,1.326E-07,-7.482E-01,3.156E+01,0.000E+00
3.597E+01,1.000E+00,1.000E+00,9.581E-06,1.020E-07,-6.117E+00,3.111E+01,0.000E+00
3.145E+01,1.000E+00,1.000E+00,1.534E-05,1.810E-07,-4.516E+00,5.118E+01,0.000E+00
2.119E+01,1.000E+00,1.000E+00,9.000E-06,9.949E-08,-1.026E+01,5.274E+01,0.000E+00
2.038E+01,1.000E+00,1.000E+00,1.077E-05,1.176E-07,-8.106E-01,4.677E+01,0.000E+00
2.332E+01,1.000E+00,1.000E+00,1.129E-05,1.282E-07,-3.136E-01,5.963E+01,0.000E+00
2.290E+01,2.000E+00,5.000E-01,1.166E-05,1.287E-07,-8.580E-01,4.937E+01,0.000E+00
2.245E+01,1.000E+00,1.000E+00,1.031E-05,1.049E-07,-4.472E-01,3.573E+01,0.000E+00
2.110E+01,1.000E+00,1.000E+00,1.146E-05,1.471E-07,-1.349E+00,2.844E+01,0.000E+00
2.051E+01,1.000E+00,1.000E+00,9.723E-06,1.239E-07,-5.919E-01,5.265E+01,0.000E+00
1.997E+01,1.000E+00,1.000E+00,6.775E-06,6.897E-08,-5.388E-01,3.261E+01,0.000E+00
1.894E+01,1.000E+00,1.000E+00,5.241E-06,5.506E-08,-1.026E+00,4.301E+01,0.000E+00
1.712E+01,1.000E+00,1.000E+00,6.680E-06,7.252E-08,-1.826E+00,6.229E+01,0.000E+00
1.425E+01,1.000E+00,1.000E+00,7.309E-06,8.902E-08,-2.866E+00,6.916E+01,0.000E+00
1.424E+01,2.000E+00,5.000E-01,9.326E-06,1.040E-07,-2.279E-02,5.487E+01,0.000E+00
2.182E+01,1.000E+00,1.000E+00,6.487E-06,6.515E-08,-1.461E-01,6.047E+01,0.000E+00
2.097E+01,2.000E+00,5.000E-01,6.347E-06,6.361E-08,-1.717E+00,5.397E+01,0.000E+00
2.076E+01,2.000E+00,5.000E-01,5.932E-06,5.979E-08,-4.121E-01,5.900E+01,0.000E+00
2.058E+01,1.000E+00,1.000E+00,5.318E-06,5.489E-08,-1.798E-01,5.451E+01,0.000E+00
1.980E+01,1.000E+00,1.000E+00,5.157E-06,5.095E-08,-7.756E-01,5.745E+01,0.000E+00
1.691E+01,1.000E+00,1.000E+00,5.233E-06,5.110E-08,-2.889E+00,5.933E+01,0.000E+00
1.309E+01,1.000E+00,1.000E+00,5.330E-06,5.296E-08,-3.822E+00,5.693E+01,0.000E+00
1.165E+01,1.000E+00,1.000E+00,5.849E-06,6.364E-08,-1.438E+00,5.767E+01,0.000E+00
1.133E+01,1.000E+00,1.000E+00,5.910E-06,6.323E-08,-3.279E-01,5.565E+01,0.000E+00
1.123E+01,2.000E+00,5.000E-01,4.915E-06,4.911E-08,-1.901E-01,4.664E+01,0.000E+00
